index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
84,2.800000,0.590698,-0.045191,0.471300,0.590703,-0.045199,0.471301,-0.118092,0.108691,0.043673,-1.826927,-0.005070,1.935511,0.712531,0.035000,0.035000,0.00000910
85,2.833333,0.585168,-0.037282,0.470871,0.585174,-0.037290,0.470872,-0.111257,0.090182,0.049417,-1.851963,-0.004774,1.942032,0.725090,0.035000,0.035000,0.00000923
86,2.866667,0.579607,-0.029190,0.470528,0.579613,-0.029197,0.470528,-0.104259,0.071911,0.055511,-1.876205,-0.004288,1.948002,0.738086,0.035000,0.035000,0.00000953
87,2.900000,0.574023,-0.020953,0.470269,0.574028,-0.020961,0.470270,-0.097129,0.053912,0.061932,-1.899611,-0.003595,1.953418,0.751454,0.035000,0.035000,0.00000961
88,2.933333,0.568420,-0.012613,0.470097,0.568426,-0.012621,0.470097,-0.089898,0.036217,0.068652,-1.922152,-0.002683,1.958282,0.765121,0.035000,0.035000,0.00000975
89,2.966667,0.562808,-0.004211,0.470011,0.562814,-0.004219,0.470011,-0.082599,0.018849,0.075641,-1.943800,-0.001541,1.962595,0.779015,0.035000,0.035000,0.00000970
90,3.000000,0.557192,0.004211,0.470011,0.557198,0.004203,0.470011,-0.075260,0.001831,0.082860,-1.964538,-0.000164,1.966363,0.793061,0.035000,0.035000,0.00000972
91,3.033333,0.551580,0.012613,0.470097,0.551585,0.012605,0.470097,-0.067915,-0.014822,0.090272,-1.984359,0.001450,1.969596,0.807183,0.035000,0.035000,0.00000973
92,3.066667,0.545977,0.020953,0.470269,0.545983,0.020945,0.470269,-0.060591,-0.031101,0.097831,-2.003258,0.003300,1.972304,0.821302,0.035000,0.035000,0.00000968
93,3.100000,0.540393,0.029190,0.470528,0.540398,0.029182,0.470527,-0.053321,-0.047001,0.105493,-2.021245,0.005380,1.974499,0.835341,0.035000,0.035000,0.00000949
94,3.133333,0.534832,0.037282,0.470871,0.534837,0.037275,0.470871,-0.046134,-0.062524,0.113208,-2.038331,0.007681,1.976195,0.849223,0.035000,0.035000,0.00000947
95,3.166667,0.529302,0.045191,0.471300,0.529308,0.045184,0.471300,-0.039061,-0.077678,0.120925,-2.054540,0.010192,1.977408,0.862870,0.035000,0.035000,0.00000931
96,3.200000,0.523810,0.052878,0.471814,0.523816,0.052871,0.471814,-0.032130,-0.092475,0.128591,-2.069899,0.012898,1.978153,0.876206,0.035000,0.035000,0.00000908
97,3.233333,0.518363,0.060304,0.472412,0.518369,0.060296,0.472411,-0.025372,-0.106933,0.136153,-2.084442,0.015780,1.978446,0.889154,0.035000,0.035000,0.00000993
98,3.266667,0.512967,0.067433,0.473093,0.512973,0.067425,0.473092,-0.018814,-0.121077,0.143557,-2.098211,0.018822,1.978303,0.901644,0.035000,0.035000,0.00000953
99,3.300000,0.507629,0.074229,0.473856,0.507635,0.074222,0.473855,-0.012483,-0.134935,0.150747,-2.111252,0.022001,1.977741,0.913603,0.035000,0.035000,0.00000923
100,3.333333,0.502355,0.080660,0.474701,0.502362,0.080653,0.474700,-0.006407,-0.148536,0.157670,-2.123610,0.025296,1.976774,0.924962,0.035000,0.035000,0.00000998
101,3.366667,0.497153,0.086694,0.475626,0.497159,0.086687,0.475625,-0.000609,-0.161916,0.164273,-2.135340,0.028683,1.975418,0.935657,0.035000,0.035000,0.00000951
102,3.400000,0.492028,0.092300,0.476631,0.492034,0.092294,0.476629,0.004888,-0.175110,0.170501,-2.146493,0.032139,1.973685,0.945624,0.035000,0.035000,0.00000921
103,3.433333,0.486986,0.097452,0.477713,0.486993,0.097445,0.477712,0.010060,-0.188154,0.176305,-2.157121,0.035638,1.971589,0.954805,0.035000,0.035000,0.00000946
104,3.466667,0.482035,0.102124,0.478873,0.482042,0.102118,0.478871,0.014890,-0.201086,0.181635,-2.167279,0.039154,1.969140,0.963147,0.035000,0.035000,0.00000905
105,3.500000,0.477180,0.106292,0.480108,0.477187,0.106286,0.480106,0.019358,-0.213939,0.186443,-2.177015,0.042661,1.966350,0.970597,0.035000,0.035000,0.00000960
106,3.533333,0.472426,0.109937,0.481416,0.472434,0.109931,0.481414,0.023450,-0.226747,0.190686,-2.186377,0.046130,1.963227,0.977113,0.035000,0.035000,0.00001009
107,3.566667,0.467781,0.113041,0.482797,0.467789,0.113036,0.482794,0.027151,-0.239541,0.194321,-2.195409,0.049533,1.959780,0.982657,0.035000,0.035000,0.00000932
108,3.600000,0.463249,0.115587,0.484248,0.463257,0.115583,0.484245,0.030449,-0.252340,0.197310,-2.204146,0.052839,1.956016,0.987191,0.035000,0.035000,0.00000968
109,3.633333,0.458837,0.117564,0.485768,0.458845,0.117561,0.485765,0.033332,-0.265170,0.199618,-2.212624,0.056015,1.951941,0.990691,0.035000,0.035000,0.00000925
110,3.666667,0.454549,0.118962,0.487354,0.454557,0.118959,0.487351,0.035791,-0.278037,0.201214,-2.220864,0.059027,1.947563,0.993132,0.035000,0.035000,0.00000973
111,3.700000,0.450391,0.119774,0.489006,0.450399,0.119772,0.489003,0.037818,-0.290951,0.202071,-2.228886,0.061842,1.942887,0.994501,0.035000,0.035000,0.00000919
112,3.733333,0.446368,0.119995,0.490720,0.446377,0.119995,0.490716,0.039405,-0.303906,0.202165,-2.236699,0.064421,1.937923,0.994788,0.035000,0.035000,0.00000993
113,3.766667,0.442485,0.119626,0.492495,0.442493,0.119627,0.492491,0.040546,-0.316895,0.201481,-2.244306,0.066729,1.932674,0.993988,0.035000,0.035000,0.00000957
114,3.800000,0.438746,0.118667,0.494329,0.438755,0.118669,0.494325,0.041234,-0.329897,0.200004,-2.251699,0.068728,1.927151,0.992105,0.035000,0.035000,0.00000969
115,3.833333,0.435157,0.117124,0.496219,0.435166,0.117127,0.496214,0.041465,-0.342884,0.197728,-2.258865,0.070380,1.921364,0.989148,0.035000,0.035000,0.00000971
116,3.866667,0.431722,0.115003,0.498162,0.431730,0.115008,0.498158,0.041234,-0.355819,0.194650,-2.265782,0.071649,1.915326,0.985132,0.035000,0.035000,0.00001016
117,3.900000,0.428445,0.112316,0.500158,0.428452,0.112322,0.500154,0.040538,-0.368659,0.190773,-2.272419,0.072500,1.909049,0.980075,0.035000,0.035000,0.00000951
118,3.933333,0.425330,0.109076,0.502202,0.425337,0.109083,0.502198,0.039375,-0.381347,0.186107,-2.278740,0.072901,1.902552,0.974004,0.035000,0.035000,0.00000995
119,3.966667,0.422381,0.105299,0.504293,0.422387,0.105306,0.504289,0.037743,-0.393828,0.180666,-2.284702,0.072824,1.895851,0.966948,0.035000,0.035000,0.00000975
120,4.000000,0.419602,0.101002,0.506428,0.419607,0.101010,0.506424,0.035645,-0.406028,0.174471,-2.290256,0.072246,1.888972,0.958945,0.035000,0.035000,0.00001011
121,4.033333,0.416995,0.096208,0.508604,0.417000,0.096216,0.508601,0.033083,-0.417881,0.167545,-2.295351,0.071150,1.881937,0.950030,0.035000,0.035000,0.00000960
122,4.066667,0.414565,0.090940,0.510819,0.414569,0.090948,0.510816,0.030067,-0.429307,0.159922,-2.299931,0.069523,1.874772,0.940249,0.035000,0.035000,0.00000908
123,4.100000,0.412314,0.085224,0.513070,0.412317,0.085233,0.513067,0.026606,-0.440224,0.151637,-2.303937,0.067364,1.867510,0.929651,0.035000,0.035000,0.00000961
124,4.133333,0.410245,0.079089,0.515354,0.410248,0.079097,0.515352,0.022715,-0.450554,0.142729,-2.307312,0.064675,1.860179,0.918285,0.035000,0.035000,0.00000912
125,4.166667,0.408360,0.072563,0.517669,0.408363,0.072572,0.517666,0.018414,-0.460211,0.133246,-2.309997,0.061470,1.852814,0.906208,0.035000,0.035000,0.00000952
126,4.200000,0.406662,0.065680,0.520011,0.406665,0.065689,0.520008,0.013728,-0.469117,0.123237,-2.311936,0.057770,1.845446,0.893479,0.035000,0.035000,0.00001003
127,4.233333,0.405153,0.058474,0.522378,0.405155,0.058482,0.522375,0.008685,-0.477195,0.112752,-2.313077,0.053605,1.838110,0.880157,0.035000,0.035000,0.00000936
128,4.266667,0.403835,0.050979,0.524766,0.403837,0.050988,0.524763,0.003321,-0.484372,0.101853,-2.313370,0.049013,1.830838,0.866312,0.035000,0.035000,0.00000955
129,4.300000,0.402709,0.043233,0.527173,0.402711,0.043243,0.527170,-0.002324,-0.490581,0.090596,-2.312773,0.044039,1.823662,0.852010,0.035000,0.035000,0.00000974
130,4.333333,0.401777,0.035275,0.529596,0.401778,0.035284,0.529593,-0.008207,-0.495766,0.079046,-2.311247,0.038737,1.816611,0.837322,0.035000,0.035000,0.00000991
131,4.366667,0.401040,0.027142,0.532032,0.401041,0.027151,0.532029,-0.014281,-0.499879,0.067265,-2.308763,0.033165,1.809709,0.822321,0.035000,0.035000,0.00000905
132,4.400000,0.400499,0.018876,0.534477,0.400499,0.018885,0.534475,-0.020493,-0.502881,0.055321,-2.305300,0.027387,1.802981,0.807086,0.035000,0.035000,0.00000914
133,4.433333,0.400154,0.010517,0.536930,0.400154,0.010526,0.536927,-0.026791,-0.504748,0.043281,-2.300846,0.021469,1.796444,0.791692,0.035000,0.035000,0.00000942
134,4.466667,0.400006,0.002106,0.539386,0.400007,0.002115,0.539383,-0.033122,-0.505464,0.031211,-2.295395,0.015482,1.790111,0.776218,0.035000,0.035000,0.00000920
135,4.500000,0.400055,-0.006315,0.541843,0.400055,-0.006306,0.541840,-0.039431,-0.505030,0.019179,-2.288952,0.009494,1.783991,0.760743,0.035000,0.035000,0.00000942
136,4.533333,0.400302,-0.014706,0.544297,0.400302,-0.014697,0.544295,-0.045668,-0.503455,0.007251,-2.281533,0.003575,1.778088,0.745347,0.035000,0.035000,0.00000937
137,4.566667,0.400745,-0.023023,0.546747,0.400744,-0.023015,0.546744,-0.051780,-0.500763,-0.004508,-2.273160,-0.002209,1.772401,0.730106,0.035000,0.035000,0.00000916
138,4.600000,0.401384,-0.031228,0.549188,0.401384,-0.031219,0.549185,-0.057722,-0.496988,-0.016035,-2.263865,-0.007794,1.766925,0.715100,0.035000,0.035000,0.00000901
139,4.633333,0.402219,-0.039278,0.551617,0.402218,-0.039269,0.551614,-0.063450,-0.492175,-0.027268,-2.253687,-0.013123,1.761651,0.700405,0.035000,0.035000,0.00001013
