index,time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7,panda_finger_joint1,panda_finger_joint2,position_error_m
84,2.800000,0.402601,0.042210,0.478918,0.402602,0.042219,0.478920,0.160084,-0.473143,-0.048972,-2.423741,-0.024025,1.950985,0.910800,0.035000,0.035000,0.00000939
85,2.833333,0.401743,0.034606,0.477340,0.401744,0.034615,0.477342,0.153519,-0.477699,-0.059567,-2.431262,-0.029515,1.954137,0.897047,0.035000,0.035000,0.00000925
86,2.866667,0.401055,0.026960,0.475789,0.401056,0.026969,0.475791,0.146842,-0.481326,-0.070338,-2.437884,-0.035136,1.957357,0.883124,0.035000,0.035000,0.00000933
87,2.900000,0.400539,0.019281,0.474269,0.400539,0.019290,0.474271,0.140084,-0.484002,-0.081264,-2.443590,-0.040848,1.960654,0.869049,0.035000,0.035000,0.00000934
88,2.933333,0.400194,0.011578,0.472780,0.400195,0.011587,0.472782,0.133273,-0.485710,-0.092326,-2.448367,-0.046613,1.964032,0.854845,0.035000,0.035000,0.00000945
89,2.966667,0.400022,0.003861,0.471325,0.400022,0.003870,0.471327,0.126443,-0.486435,-0.103502,-2.452205,-0.052389,1.967495,0.840531,0.035000,0.035000,0.00000928
90,3.000000,0.400022,-0.003861,0.469905,0.400022,-0.003852,0.469907,0.119626,-0.486169,-0.114769,-2.455095,-0.058132,1.971041,0.826129,0.035000,0.035000,0.00000932
91,3.033333,0.400194,-0.011578,0.468523,0.400194,-0.011569,0.468524,0.112856,-0.484909,-0.126104,-2.457033,-0.063797,1.974668,0.811660,0.035000,0.035000,0.00000933
92,3.066667,0.400539,-0.019281,0.467179,0.400538,-0.019272,0.467180,0.106167,-0.482657,-0.137484,-2.458016,-0.069341,1.978371,0.797145,0.035000,0.035000,0.00000921
93,3.100000,0.401055,-0.026960,0.465875,0.401055,-0.026951,0.465877,0.099593,-0.479419,-0.148885,-2.458046,-0.074718,1.982140,0.782605,0.035000,0.035000,0.00000922
94,3.133333,0.401743,-0.034606,0.464614,0.401742,-0.034597,0.464615,0.093164,-0.475208,-0.160284,-2.457124,-0.079884,1.985964,0.768061,0.035000,0.035000,0.00000924
95,3.166667,0.402601,-0.042210,0.463396,0.402600,-0.042201,0.463397,0.086912,-0.470041,-0.171657,-2.455258,-0.084795,1.989830,0.753533,0.035000,0.035000,0.00000918
96,3.200000,0.403628,-0.049761,0.462223,0.403627,-0.049752,0.462224,0.080865,-0.463939,-0.182979,-2.452456,-0.089409,1.993720,0.739038,0.035000,0.035000,0.00000904
97,3.233333,0.404824,-0.057251,0.461097,0.404822,-0.057242,0.461098,0.075049,-0.456929,-0.194228,-2.448731,-0.093684,1.997616,0.724596,0.035000,0.035000,0.00000904
98,3.266667,0.406185,-0.064670,0.460018,0.406184,-0.064661,0.460020,0.069485,-0.449041,-0.205378,-2.444098,-0.097582,2.001497,0.710225,0.035000,0.035000,0.00000992
99,3.300000,0.407712,-0.072010,0.458989,0.407710,-0.072001,0.458991,0.064193,-0.440306,-0.216410,-2.438572,-0.101068,2.005341,0.695938,0.035000,0.035000,0.00000976
100,3.333333,0.409402,-0.079261,0.458011,0.409400,-0.079252,0.458012,0.059188,-0.430761,-0.227299,-2.432173,-0.104109,2.009125,0.681752,0.035000,0.035000,0.00000977
101,3.366667,0.411252,-0.086415,0.457084,0.411250,-0.086405,0.457085,0.054481,-0.420446,-0.238023,-2.424922,-0.106674,2.012823,0.667680,0.035000,0.035000,0.00000978
102,3.400000,0.413262,-0.093462,0.456210,0.413259,-0.093453,0.456211,0.050081,-0.409400,-0.248561,-2.416843,-0.108738,2.016411,0.653738,0.035000,0.035000,0.00000957
103,3.433333,0.415427,-0.100394,0.455390,0.415424,-0.100385,0.455391,0.045990,-0.397666,-0.258892,-2.407959,-0.110279,2.019864,0.639938,0.035000,0.035000,0.00000953
104,3.466667,0.417746,-0.107202,0.454625,0.417743,-0.107193,0.454626,0.042209,-0.385288,-0.268994,-2.398299,-0.111279,2.023155,0.626293,0.035000,0.035000,0.00000945
105,3.500000,0.420215,-0.113878,0.453916,0.420212,-0.113869,0.453917,0.038733,-0.372307,-0.278848,-2.387888,-0.111724,2.026260,0.612815,0.035000,0.035000,0.00000923
106,3.533333,0.422832,-0.120414,0.453264,0.422829,-0.120405,0.453264,0.035554,-0.358770,-0.288434,-2.376755,-0.111605,2.029154,0.599516,0.035000,0.035000,0.00000923
107,3.566667,0.425593,-0.126801,0.452669,0.425590,-0.126793,0.452670,0.032660,-0.344719,-0.297734,-2.364930,-0.110917,2.031814,0.586411,0.035000,0.035000,0.00000909
108,3.600000,0.428496,-0.133032,0.452132,0.428492,-0.133024,0.452133,0.030039,-0.330198,-0.306729,-2.352443,-0.109661,2.034217,0.573511,0.035000,0.035000,0.00000905
109,3.633333,0.431535,-0.139100,0.451655,0.431531,-0.139091,0.451656,0.027674,-0.315252,-0.315401,-2.339325,-0.107842,2.036341,0.560834,0.035000,0.035000,0.00000985
